"Active.Material....","Solid.Content....","Comma.Gap..μm.","σ..mg.cm2.","σ..μm.","σ1..mg.cm2..Perpendicular","σ1..μm..Perpendicular","σ2..mg.cm2..Perpendicular","σ2..μm..Perpendicular","σ3..mg.cm2..Perpendicular","σ3..μm..Perpendicular","σ1..mg.cm2..Direction","σ1..μm..Direction","σ2..mg.cm2..Direction","σ2..μm..Direction","σ3..mg.cm2..Direction","σ3..μm..Direction"
95,0.58,300,0.0127184812086727,0.00595913614428588,0.00981970807441216,0.00451054897804395,0.0125675958873978,0.00579292222150205,0.0119061046767685,0.0053756266305315,0.00876448539914139,0.00533390119743552,0.00811945782419156,0.00290776069895941,0.0108130772599251,0.00392156862745098
95,0.58,50,0.0679488105378171,0.0121914962273543,0.0761214630638226,0,0.0676752929327631,0.012987012987013,0.051942789854186,0.012987012987013,0.0864200821759938,0.012987012987013,0.0675097175295369,0.00959685827253129,0.042520830645582,0.0121914962273543
95,0.677,100,0.0229937251478934,0.0108934013054646,0.0118253285558709,0.00705384220031479,0.0201314572229327,0.012925096005071,0.0222605768035667,0.0108934013054646,0.0176085231753101,0.00700961748432536,0.0193210198013949,0.00700961748432536,0.0272054416325442,0.0141523289715177
95,0.677,75,0.0442192040635694,0.0142219926011174,0.0193956004097507,0.00813115628181742,0.0585234995535982,0.0195824174804891,0.0361539814909634,0.010989010989011,0.0383805155393199,0.0125510928084701,0.0582452138030798,0.0163216640693415,0.0302146109084934,0.010989010989011
95,0.677,400,0.00754771522113241,0.00888884499346644,0.00412530494108262,0.0071944138619423,0.00726357149854891,0.0101549850721815,0.0054672675310855,0.00693729603188824,0.00717458320854261,0.00808133344875581,0.00573361099081482,0.00687768446555623,0.00839836446757219,0.0024384601717555
95,0.677,200,0.0147368896294656,0.0518485662800821,0.0178030163595707,0.0513764868441831,0.00890157273792817,0.0517890045327981,0.0142686520976304,0.0521772076119636,0.0126835297073821,0.0060140653040586,0.015928375761614,0.00564971751412429,0.0121339019476125,0.0135847122162265
95,0.677,300,0.0156596030567483,0.0334649629285683,0.0155759922377302,0.0359967910398888,0.0189901275632495,0.0304951711562932,0.00674233865824867,0.0188398239565345,0.0095058905362218,0.00544663887135754,0.0188202639816386,0.0205073518007902,0.0150439986831807,0.0293134250037723
95,0.677,50,0.0800448585491433,0.0153278832528219,0.0667033656607153,0,0.0604068324286119,0.0203670030886926,0.0907264708726557,0.0133333333333333,0.0381410253738777,0,0.0956534933080788,0.0133333333333333,0.0813802102981491,0.0203670030886926
95,0.63,100,0.0200641045580493,0.0094548328858342,0.00874326332906082,0,0.0170673210240441,0.00895071874919681,0.0130407195673398,0,0.0197183098591549,0.00895071874919681,0.022567380211687,0.00952380952380952,0.0136843002390122,0.00952380952380952
95,0.63,75,0.0750737694102419,0.0101741982904539,0.0184642926631457,0.010752688172043,0.113407962649211,0.010752688172043,0.0245562881482024,0,0.0332537841638008,0.010752688172043,0.0448066802406745,0.0101741982904539,0.10581300817032,0.00807244757220141
95,0.63,400,0.0118753422085512,0.00857236724759347,0.0111577203937844,0.0071720530334115,0.00624793926326184,0.0035420261913474,0.00598714759987606,0.00475864558147024,0.0124629382643787,0.00990874281676182,0.00978642852658434,0.00923995032024706,0.0127773681364662,0.00554599877150824
95,0.63,200,0.0126602044323629,0.00975357030190016,0.0017903194205896,0.00427546458412962,0.0109800476430613,0.0126588732456313,0.0106784870838391,0.00546028402460655,0.0154705691550925,0.00663620999068535,0.00950964721072653,0.0122900657148423,0.011667475240955,0.00938501817158306
95,0.63,300,0.0117776242797832,0.00643956895091357,0.00437891820319073,0.00553436996727203,0.010274151854615,0.00653197264742181,0.00890109885476774,0.00461880215351701,0.00994188224754113,0.00401606425702811,0.00922051698117984,0.00854889751326148,0.014200888348481,0.00550481391938273
95,0.63,50,0.0562384962097069,0.0108769110080638,0.0187904872058806,0,0.0489971656413921,0.0122975092380269,0.0745414768282986,0.0122975092380269,0.0272071397918051,0,0.0543830139422347,0.0122975092380269,0.0677989679362817,0.0122975092380269
95,0.71,100,0.0129283958134285,0.0263702344854542,0.0115172085022404,0.0301405147989029,0.012095879447521,0.0217868026109293,0.00865016625725255,0.0238322126546111,0.0192303692171919,0.0204572659342902,0.00333728479300359,0.0148303420548733,0.0108785658644084,0.0198239140477797
95,0.71,75,0.0204367993205937,0.0227272727272727,0.0223613946178912,0.0215910467537877,0.0190900887080304,0.0155588891532742,0.0173338602906961,0.0274721127897378,0.010115756271391,0.0105538325550231,0.0100077089049288,0.0160432125510415,0.0168769289021038,0.0112359550561798
95,0.71,400,0.00990675044229215,0.00418406379400324,0.0105050634035768,0.00313572851967427,0.00782975896889782,0.00332225913621262,0.00677529144958948,0.00458632438889617,0.010362293883464,0.00313572851967427,0.00688234331613821,0.00457614386861006,0.0095431991287652,0.00457614386861006
95,0.71,200,0.0208944775838529,0.0105408418767514,0.0149659006374506,0.00695602733963404,0.02479441085136,0.00914685767456255,0.015840296988225,0.00591715976331361,0.0181275351220382,0.0133896286077832,0.0258572048242325,0.00890863736055693,0.0134229861408931,0.00819702907677467
95,0.71,300,0.0140264300782751,0.00941154065526303,0.0117593897848178,0.00422153302200924,0.0130511513628261,0.00423417234243442,0.0099959862887433,0.0102185888352146,0.01442592133133,0.0033324410991055,0.0124473162739349,0.0133333333333333,0.0129545834945459,0.00667482978358146
95,0.71,50,0.0610387036659851,0.0397722659315695,0.028966155374283,0.0442725798287264,0.0519566405323792,0.021486752129677,0.00696656927277381,0.0441349503204176,0.0643079463029298,0.0226804605813257,0.0600905858256707,0.0133333333333333,0.0573660154659318,0.0119848606980771
95,0.65,100,0.0389207068445185,0.0138028887499987,0.0182725011293108,0.0106916716516597,0.0545194769836452,0.013718208450919,0.024693141577435,0.0138886209782596,0.0355541371510804,0.00917431192660551,0.0394005822424308,0.0142759367444107,0.0379716055160336,0.0106916716516597
95,0.65,75,0.0291129607842049,0.0165016501650165,0.014255562202213,0.0073313704180321,0.0284632030742599,0.0160097368809358,0.0143518173631609,0.00949136619042346,0.0233853586673371,0.0160097368809358,0.0324784175385565,0.0148083972019854,0.0285379190477665,0.0136980253342779
95,0.65,400,0.00919815016407404,0.00628911826731362,0.00842575309998547,0.00520061516514475,0.00434899273445201,0.00434468453700491,0.0064886926717903,0.00475759144148891,0.0100166837916302,0.00607890227146881,0.00863034491334206,0.00572281063457439,0.00867742556006313,0.00607890227146881
95,0.65,200,0.0123328509418842,0.00884936272526704,0.00800201969202924,0.00550277650728831,0.0101919173127869,0.0087006536089486,0.0119482843824936,0.00810040397960248,0.0146395482920472,0.0110055530145766,0.00952342476423244,0.00893289609153185,0.012212344180185,0
